"","nx","ny","lat","lon","clima","gpp","ra","npp","rc","et","wue","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm"
"1",201,187,3.75,-79.25,"nclim",0.37372200191021,0.560584843158722,0.165688330928485,176.139447530111,3.82204814751943,0.00632699998095632,0.142015670736631,1.19472867250443,0.197149835526943,0.499183495839437,0.498395000894864,5.50077565511068,11.3482693831126,5.24591000874837,0.232300328711669,0.159328999618689,0.608370820681254
"2",201,188,4.25,-79.25,"nclim",0.671899503469467,0.810869896411896,0.339391398429871,167.492240905762,4.16026420593262,0.00591779993847013,0.185618102550507,3.21190190315247,0.323732605576515,0.587092000246048,2.30107697248459,3.71598749160767,23.2493003845215,4.20355658531189,0.291397503018379,0.263677300512791,0.444925099611282
"3",201,189,4.75,-79.25,"nclim",0.790953600406647,0.859584009647369,0.407128599286079,170.286808776855,4.29653701782227,0.0057739001698792,0.211484599113464,3.83182787895203,0.365078604221344,0.589888000488281,2.87686088085175,3.42054378986359,23.3104362487793,3.80803780555725,0.301712599396706,0.282221001386642,0.416066697239876
"4",202,187,3.75,-78.75,"nclim",2.6010947227478,1.40103968381882,1.20005710124969,147.824754333496,4.16155624389648,0.00661400007084012,0.464325302839279,13.4813407897949,0.73270480632782,0.742586803436279,12.0060458183289,2.18574268817902,25.9646377563477,2.19053030014038,0.321871700882912,0.360908004641533,0.317220199108124
"5",202,188,4.25,-78.75,"nclim",2.06053519248962,1.24326039552689,0.861633002758026,146.210032653809,4.09457459449768,0.00678300019353628,0.376428905129433,7.90003571510315,0.596607792377472,0.751210397481918,6.55221691131592,2.49918577671051,22.6849895477295,2.6941739320755,0.312893798947334,0.337017098069191,0.350089100003243
"6",202,189,4.75,-78.75,"nclim",2.60742175579071,1.4556587100029,1.15178678035736,146.549099731445,4.48559951782227,0.00614400021731853,0.44172939658165,12.8224241256714,0.688397002220154,0.775487804412842,11.3585378646851,2.20218050479889,25.6814970016479,2.30771653652191,0.313520604372025,0.362200704216957,0.324278903007507
"7",202,190,5.25,-78.75,"nclim",1.34813189506531,1.22995760440826,0.548771506547928,153.137739562988,4.90401411056519,0.00540689998306334,0.229590700566769,5.28747444152832,0.452893698215485,0.730806195735931,4.10377566814423,3.05047655105591,23.1021690368652,3.47819738388062,0.296796002984047,0.30277019739151,0.400433701276779
"8",203,181,0.75,-78.25,"nclim",1.80800259113312,1.07520159482956,0.732803803682327,162.98270111084,3.3504919052124,0.00750999990850687,0.404303795099258,7.12716016769409,0.762396401166916,0.715925407409668,5.64883799552917,3.23049590587616,23.9401224136353,2.95409488677979,0.35075389444828,0.304412698745728,0.344832998514175
"9",203,182,1.25,-78.25,"nclim",2.27272210121155,1.18701409101486,1.08650789260864,152.674800109863,3.99909911155701,0.00660969996824861,0.47966639995575,11.4510019302368,0.752178204059601,0.666609799861908,10.0322147369385,2.30425446033478,25.6538696289062,2.18155498504639,0.344672703742981,0.340868100523949,0.314459100365639
"10",203,182,1.25,-78.25,"lowprec",0.0762429982423782,0.649335980415344,0.00643099984154105,150.428695678711,3.96468806266785,0.00654499977827072,0.00631600013002753,10.8266878128052,0.483934998512268,0.235885992646217,10.1068658828735,3.60746502876282,27.6353435516357,2.63191604614258,0.401089996099472,0.28404301404953,0.314868003129959
"11",203,183,1.75,-78.25,"nclim",2.21129152774811,1.15107170343399,1.06213699579239,162.347692871094,3.8681675195694,0.00649879993870854,0.4804407954216,11.2808229446411,0.738315296173096,0.657935696840286,9.88457908630371,2.34804329872131,25.5582855224609,2.19592471122742,0.338649302721024,0.346382701396942,0.314967799186707
"12",203,184,2.25,-78.25,"nclim",2.12099721431732,1.1260834813118,1.0037416934967,167.990635681152,3.67923061847687,0.00658970004878938,0.465812301635742,10.3876476287842,0.737510597705841,0.651145106554031,8.99899501800537,2.4056717634201,25.4452743530273,2.26143908500671,0.349216002225876,0.333438295125961,0.317345601320267
"13",203,185,2.75,-78.25,"nclim",2.62919807434082,1.47172160148621,1.15747629404068,154.679110717773,4.19924883842468,0.00603500008583069,0.442101401090622,12.8924713134766,0.714651602506638,0.805164098739624,11.3726530075073,2.23486769199371,25.5714069366455,2.37876794338226,0.314759096503258,0.361010399460793,0.324230301380157
"14",203,186,3.25,-78.25,"nclim",2.86428039073944,1.59604508876801,1.26823529005051,150.877549743652,4.25650539398193,0.00609100004658103,0.445581299066544,14.4353841781616,0.7566850066185,0.753104799985886,12.9255921363831,2.14318628311157,26.1793569564819,2.1414749622345,0.323232805728912,0.362147092819214,0.31462020277977
"15",203,187,3.75,-78.25,"nclim",2.84071741104126,1.55414630174637,1.28657128810883,144.932696533203,4.06633009910584,0.00666899979114532,0.455336302518845,14.6639121055603,0.778189200162888,0.730430603027344,13.1552907943726,2.14998090267181,26.2553491592407,2.07570961713791,0.326121497154236,0.362351003289223,0.311527800559998
"16",203,188,4.25,-78.25,"nclim",2.86414890289307,1.58798041343689,1.27616819143295,140.675462341309,4.1270929813385,0.00682399980723858,0.448038503527641,14.5472979545593,0.76696270108223,0.740173101425171,13.0401682853699,2.14545369148254,26.2278512954712,2.1063530921936,0.32502110004425,0.361999893188477,0.312979200482368
"17",203,189,4.75,-78.25,"nclim",2.96799528598785,1.67494869232178,1.29304671287537,140.083558654785,4.32078375816345,0.00679499981924891,0.438162398338318,14.7103451728821,0.775616812705994,0.74432629942894,13.1904037475586,2.13613460063934,26.2563289642334,2.10086870193481,0.326991400122642,0.360319399833679,0.312689605355263
