"","nx","ny","lat","lon","clima","gpp","ra","npp","rc","et","wue","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"4003",259,182,1.25,-50.25,"lowprec",1.560100710392,1.35167521238327,0.66333110332489,142.991664123535,4.30250186920166,0.00710200006142259,0.260899299383163,7.10259251594543,0.478368499875069,0.607830196619034,6.01639246940613,2.71467730998993,25.0099771499634,2.89187891483307,0.308763298392296,0.338657799363136,0.352578997612,-0.0281491255348904,0.306995669368693,0.0281041558423399,-0.145154461415093,0.156885347136533,-8.47592885176718e-07
"4004",259,183,1.75,-50.25,"nclim",2.64011070728302,1.59689930677414,1.05631439685822,142.232948303223,4.22814092636108,0.00734200002625585,0.381476500630379,12.0423006057739,0.637531793117523,0.630303996801376,10.7744683265686,2.24621720314026,26.3691528320313,2.18141143321991,0.325282099843025,0.358737599849701,0.315979999303818,1.33941913192168,-0.0109322503856628,0.124451760241281,0.0153084079361342,-0.0365850811241761,3.31369568740136e-06
"4005",259,183,1.75,-50.25,"lowprec",1.6146656036377,1.35041310787201,0.708218097686768,140.971978759766,4.23752994537354,0.0073429998010397,0.273559901118278,7.78220210075378,0.500484299659729,0.572531193494797,6.70918536186218,2.64467587471008,25.4094732284546,2.68295950889587,0.313621199131012,0.346542105078697,0.339836701750755,0.360501963194267,0.225590331670172,0.0131875776774615,-0.0537216825556546,0.183032080576779,1.36944345002776e-07
"4006",259,184,2.25,-50.25,"nclim",2.35939259529114,1.51929609775543,0.979709994792938,144.245254516602,4.15744729042053,0.00718099996447563,0.354131200909615,11.1959604263306,0.612152093648911,0.578777199983597,10.0050230026245,2.31857576370239,26.5058221817017,2.19465327262878,0.327560698986053,0.356811699271202,0.315627697110176,1.32141055938624,-0.074300195684439,0.00725866241722546,0.0750733109310927,-0.0202685174329755,-8.61019577802491e-07
"4007",259,184,2.25,-50.25,"lowprec",1.72385410070419,1.36648218631744,0.770181888341904,143.475039672852,4.16307997703552,0.00718099996447563,0.291877701878548,8.57851676940918,0.529190099239349,0.552014893293381,7.4973108291626,2.55662701129913,25.6840110778809,2.48223497867584,0.318371400237083,0.352032300829887,0.329596200585365,0.70621616580644,0.119139920628743,0.0330653730952453,0.0249186118920015,0.171821424511265,1.25485016572169e-06
"4008",259,185,2.75,-50.25,"nclim",2.17826242446899,1.47438859939575,0.921506595611572,146.258090209961,4.11724371910095,0.00703600002452731,0.339229997992516,10.5017923355103,0.585354691743851,0.551570302248001,9.36486806869507,2.37233788967133,26.523010635376,2.23138649463654,0.32861750125885,0.354441601037979,0.316940900683403,1.26043358477685,-0.115402176625226,-0.0652407784311586,0.0991171879408566,-0.0128519490109019,1.45469388534991e-07
"4009",259,185,2.75,-50.25,"lowprec",1.60037891864777,1.32672077417374,0.725963395833969,145.414085388184,4.12329273223877,0.00703600002452731,0.27888540327549,8.07966542243958,0.510017800331116,0.527294600009918,7.04234948158264,2.61772172451019,25.7073429107666,2.52305102348328,0.319739300012588,0.349768498539925,0.330491796135902,0.646910468556579,0.0689877287647077,-0.0523324205536462,0.0508625970813531,0.187621373102233,4.55170900159896e-06
"4010",259,186,3.25,-50.25,"nclim",2.04159216880798,1.44005331993103,0.880173999071121,147.257467651367,4.07861757278442,0.00696370000950992,0.327574297785759,10.0020275115967,0.568764901161194,0.533836704492569,8.89942588806152,2.41252770423889,26.549239730835,2.26316349506378,0.330030500888824,0.352042800188065,0.317926904559135,1.21735151801354,-0.168413134671201,-0.134271467225031,0.116754014293915,-0.0160341659427741,-1.99321641186634e-06
"4011",259,186,3.25,-50.25,"lowprec",1.48921641111374,1.29354850053787,0.682154595851898,146.213348388672,4.08602538108826,0.00696399994194508,0.265615597367287,7.58110437393188,0.491206696629524,0.518993902206421,6.57090382575989,2.68557460308075,25.7301759719849,2.60769438743591,0.319248002767563,0.346520698070526,0.334231603145599,0.514214455338437,0.0791266024393833,-0.132987423678067,0.0506025268339601,0.189160061423438,-2.97866038978523e-06
"4012",259,187,3.75,-50.25,"nclim",1.9649405002594,1.42129839658737,0.857984286546707,149.74161529541,4.0379584312439,0.00680630006827414,0.321626996994019,9.72851104736328,0.559844189882278,0.524568998813629,8.64409990310669,2.43738486766815,26.5512714385986,2.27986371517181,0.3305684030056,0.350794503092766,0.318637403845787,1.18740094751325,-0.190593575219075,-0.16724624311478,0.128704628810337,-0.0142390077956862,-3.09303772316749e-06
"4013",259,187,3.75,-50.25,"lowprec",1.41702740192413,1.27335748672485,0.652983301877975,148.499005126953,4.04661335945129,0.00680699991062284,0.256601300835609,7.2206983089447,0.478060603141785,0.515005698800087,6.22763199806213,2.73405060768127,25.707297706604,2.67775897979736,0.318974697589874,0.343642601370811,0.33738249540329,0.403986981634264,0.075746860749078,-0.18846348837072,0.0439035904703989,0.18738021257364,2.45442918994643e-06
"4014",259,188,4.25,-50.25,"nclim",1.92682582139969,1.40529699325562,0.848915600776672,140.052403259277,3.98973288536072,0.0074669998139143,0.318776103854179,9.62052907943726,0.557094192504883,0.523282700777054,8.54015045166016,2.45259869098663,26.5220327377319,2.29303510189056,0.330140197277069,0.350769999623299,0.319089898467064,1.16016964962404,-0.179232553579784,-0.170412339183443,0.12911924880922,-8.36079350732821e-05,-8.03613225186517e-07
"4015",259,188,4.25,-50.25,"lowprec",1.38231700658798,1.26069710254669,0.639804393053055,138.79527130127,3.99853236675262,0.00746780000627041,0.252645799517632,7.04604363441467,0.47269329726696,0.518975001573563,6.05437483787537,2.76088089942932,25.669305229187,2.72842359542847,0.318571698665619,0.341136902570724,0.340291601419449,0.316977268037892,0.0751267823868839,-0.21564826976052,0.0340987778783791,0.17463349328411,-1.89165235861544e-06
"4016",259,189,4.75,-50.25,"nclim",1.86148620843887,1.38549809455872,0.832933497428894,132.349269104004,4.03721017837524,0.00800199992954731,0.312344196438789,9.43844223022461,0.548436796665192,0.522388696670532,8.36761403083801,2.47591006755829,26.4830934524536,2.32366700172424,0.328289100527763,0.35110220015049,0.320609202980995,1.09692413298094,-0.118175769490407,-0.162209058794939,0.119595997486279,0.0229429442769808,-5.14431656828407e-06
