Change (%),FD component,approach,trait
20.19,richness,TBA,fine roots
1.26,richness,PFTA,fine roots
176.56,evenness,TBA,fine roots
-61.19,evenness,PFTA,fine roots
-34.02,divergence,TBA,fine roots
5.08,divergence,PFTA,fine roots
