Change (%),FD component,approach,trait
6.95,richness,TBA,leaf
0.85,richness,PFTA,leaf
225.55,evenness,TBA,leaf
-53.74,evenness,PFTA,leaf
-65.73,divergence,TBA,leaf
4.61,divergence,PFTA,leaf
