Change (%),FD component,approach,trait
26.97,richness,TBA,ABGW
-12.52,richness,PFTA,ABGW
144.66,evenness,TBA,ABGW
33.95,evenness,PFTA,ABGW
-4.81,divergence,TBA,ABGW
-19.54,divergence,PFTA,ABGW
