Change (%),FD component,approach,trait
15.15,richness,TBA,leaf
0.47,richness,PFTA,leaf
114.41,evenness,TBA,leaf
-57.27,evenness,PFTA,leaf
207.22,divergence,TBA,leaf
-5.63,divergence,PFTA,leaf
